Team, Conf, AjdEM, AdjO, AdjD, AdjT, Luck, SOS_AdjEM, SOS_OppO, SOS_OppD, NCSOS_AdjEM
Arizona St.,P12,+7.94,101.2,93.2,67.3,+.005,+9.71,107.4,97.7,+8.35
Tulane,Amer,+7.79,108.8,101.0,68.0,-.067,+4.65,104.2,99.6,-2.00
South Carolina,SEC,+7.53,101.5,93.9,70.5,+.105,+8.85,107.7,98.8,-0.24
Louisiana Tech,CUSA,+7.30,105.6,98.3,68.5,+.025,-0.51,102.9,103.4,+0.48
Cincinnati,Amer,+7.24,104.6,97.3,67.6,-.051,+2.81,103.3,100.5,-5.61
Saint Peter's,MAAC,+7.24,100.3,93.0,65.9,+.018,+0.25,103.1,102.8,+3.97
DePaul,BE,+6.74,106.9,100.2,68.8,-.025,+6.63,105.9,99.3,-7.91
UCF,Amer,+6.27,106.6,100.3,67.4,+.054,+3.68,103.4,99.7,-3.64
Florida St.,ACC,+6.20,105.3,99.1,67.8,+.075,+7.96,109.1,101.1,+0.04
Stanford,P12,+6.09,105.2,99.1,65.8,+.075,+8.67,106.8,98.2,+1.52
Princeton,Ivy,+6.03,112.3,106.3,66.9,+.040,-4.04,100.9,105.0,-4.95
Mississippi,SEC,+6.02,105.7,99.7,65.2,-.070,+7.43,106.2,98.8,-1.80
Minnesota,B10,+5.18,107.1,101.9,65.1,+.006,+8.87,107.8,98.9,-3.69
Washington,P12,+5.17,104.1,98.9,69.5,+.078,+5.82,105.9,100.1,-2.30
Wofford,SC,+5.03,106.5,101.5,64.2,-.031,-0.29,104.4,104.7,-0.30
Western Kentucky,CUSA,+4.90,106.6,101.7,68.6,-.033,-1.24,102.3,103.5,-1.29
George Mason,A10,+4.84,105.9,101.1,64.8,-.108,+1.81,103.9,102.1,-1.26
Boston College,ACC,+4.55,104.5,100.0,64.9,-.080,+5.61,105.7,100.1,-6.99
Nevada,MWC,+4.55,106.6,102.0,70.2,-.035,+6.90,106.2,99.3,+4.11
Temple,Amer,+4.48,102.1,97.7,66.3,+.083,+3.71,103.9,100.2,-1.69
Colgate,Pat,+4.41,108.2,103.8,67.2,-.076,-7.40,99.3,106.7,+2.10
Morehead St.,OVC,+4.35,103.4,99.1,64.8,+.024,-3.08,100.7,103.8,+3.68
Utah Valley,WAC,+4.33,102.7,98.3,65.8,-.011,-1.13,101.5,102.6,+2.18
Hofstra,CAA,+3.97,108.8,104.9,69.0,+.060,+0.21,103.9,103.7,+5.38
Butler,BE,+3.89,102.6,98.7,63.9,+.008,+10.49,108.2,97.7,+2.00
Utah,P12,+3.86,107.3,103.5,66.2,-.121,+6.09,105.4,99.3,-1.26
Stephen F. Austin,WAC,+3.84,102.3,98.4,69.1,+.030,-1.88,101.9,103.8,+3.09
Liberty,ASun,+3.83,104.9,101.1,65.3,-.034,-5.08,100.7,105.8,-0.64
Southern Illinois,MVC,+3.70,102.5,98.8,62.1,-.071,+0.21,102.9,102.7,-5.76
Akron,MAC,+3.62,105.6,102.0,62.1,+.013,-5.13,100.7,105.8,-4.48
Louisville,ACC,+3.59,103.0,99.4,67.0,+.001,+7.52,107.6,100.1,+1.52
N.C. State,ACC,+3.55,109.6,106.0,66.9,-.076,+6.72,107.0,100.3,-3.18
Florida Atlantic,CUSA,+3.49,105.4,101.9,67.5,-.108,-3.06,101.6,104.7,-6.79
Buffalo,MAC,+3.39,106.9,103.5,71.0,-.033,-3.45,101.8,105.2,+5.36
Abilene Christian,WAC,+3.38,104.1,100.7,70.3,+.040,-2.21,100.6,102.8,-2.82
Rhode Island,A10,+3.27,99.3,96.0,67.3,-.089,+0.76,103.8,103.0,-3.07
UC Irvine,BW,+3.13,99.4,96.3,65.2,-.005,-0.24,102.1,102.4,+6.25
Ohio,MAC,+3.12,104.2,101.1,67.6,+.034,-5.85,100.8,106.7,-4.56
UC Santa Barbara,BW,+3.10,105.1,102.0,65.6,-.084,-5.62,99.2,104.8,-10.82
Texas St.,SB,+3.08,105.7,102.7,63.8,+.114,-3.17,100.7,103.8,-1.68
Missouri,SEC,+3.01,104.1,101.1,65.6,-.020,+10.34,107.1,96.7,+2.07
Montana St.,BSky,+2.94,104.3,101.4,67.5,+.085,-6.02,101.6,107.6,-1.34
Seattle,WAC,+2.92,99.9,96.9,70.5,+.043,-5.77,100.0,105.8,-9.96
Nebraska,B10,+2.83,105.8,102.9,71.2,-.057,+8.56,107.8,99.3,-3.49
Delaware,CAA,+2.64,107.0,104.3,66.7,+.038,-1.57,102.3,103.8,-3.75
California,P12,+2.38,100.5,98.2,64.1,-.048,+6.07,105.8,99.7,-2.67
Sam Houston St.,WAC,+2.31,100.6,98.3,64.8,-.004,-1.07,101.6,102.7,+3.30
Charleston,CAA,+2.27,104.7,102.4,73.5,-.035,-0.75,103.0,103.8,+1.38
Longwood,BSth,+2.22,105.9,103.7,66.1,+.115,-7.31,98.7,106.0,-7.20
UNC Wilmington,CAA,+2.04,105.1,103.1,65.5,+.155,-2.36,102.3,104.7,-5.48
Yale,Ivy,+1.98,100.7,98.8,68.8,+.063,-1.48,103.3,104.8,+0.65
Jacksonville St.,ASun,+1.97,105.1,103.2,65.1,-.005,-4.68,100.6,105.3,-0.23
Wagner,NEC,+1.67,101.9,100.3,66.5,+.081,-9.40,97.7,107.1,+1.43
Georgia St.,SB,+1.60,101.5,99.9,67.3,+.062,-0.97,101.2,102.1,+2.05
Kent St.,MAC,+1.58,101.6,100.0,66.0,+.056,-3.56,102.4,105.9,+0.30
North Dakota St.,Sum,+1.54,102.9,101.4,66.4,+.101,-5.42,102.8,108.2,-1.84
Drexel,CAA,+1.52,104.5,102.9,66.4,-.063,-1.07,103.4,104.4,+0.97
Cal St. Fullerton,BW,+1.47,104.1,102.7,66.1,+.047,-2.99,100.5,103.5,-3.84
Coastal Carolina,SB,+1.30,102.6,101.3,67.0,-.078,-2.90,100.6,103.5,+1.52
Georgia Tech,ACC,+1.20,100.4,99.2,68.0,-.021,+6.42,107.0,100.6,-6.33
South Alabama,SB,+1.18,102.8,101.6,66.5,-.040,-4.21,99.8,104.0,-1.69
Monmouth,MAAC,+1.12,102.6,101.4,66.2,+.076,-0.59,102.0,102.6,+3.83
Winthrop,BSth,+0.89,105.9,105.0,68.3,+.115,-2.94,100.8,103.7,+6.22
Long Beach St.,BW,+0.77,103.3,102.6,70.9,+.109,-0.00,102.5,102.5,+6.47
New Mexico,MWC,+0.73,106.6,105.9,70.9,-.040,+4.72,104.8,100.1,+1.60
Southern Utah,BSky,+0.61,106.7,106.1,68.5,+.051,-5.25,100.3,105.6,+1.55
Saint Joseph's,A10,+0.60,100.4,99.8,68.0,-.085,+1.85,103.3,101.5,-1.92
Jacksonville,ASun,+0.49,100.2,99.7,61.5,+.047,-5.37,101.6,107.0,-3.25
Oral Roberts,Sum,+0.34,109.5,109.1,70.3,-.027,-4.80,102.6,107.4,+2.98
Appalachian St.,SB,+0.26,101.0,100.8,64.5,+.015,-1.01,102.6,103.6,+7.01
Gardner Webb,BSth,+0.22,96.6,96.4,67.4,-.029,-4.14,101.5,105.6,+2.79
UTEP,CUSA,+0.17,100.7,100.5,66.6,+.039,-1.69,102.1,103.8,-1.74
Hawaii,BW,+0.06,101.6,101.5,65.2,-.010,-4.44,99.8,104.3,-5.40
VMI,SC,-0.18,110.3,110.5,68.9,-.032,-0.28,103.7,103.9,-1.07
Tulsa,Amer,-0.27,103.6,103.9,66.5,-.066,+2.79,103.5,100.7,-6.08
Wright St.,Horz,-0.28,106.3,106.6,68.9,+.003,-6.76,100.2,107.0,-0.23
Fordham,A10,-0.43,94.7,95.1,67.6,+.017,-0.61,103.7,104.3,-7.43
Weber St.,BSky,-0.48,103.3,103.8,69.5,+.023,-6.01,101.0,107.0,-0.42
Georgetown,BE,-0.48,104.9,105.4,70.1,-.110,+8.39,106.5,98.1,-1.94
Norfolk St.,MEAC,-0.49,102.1,102.6,66.8,+.128,-10.02,95.5,105.5,-4.18
UC Riverside,BW,-0.58,100.3,100.9,65.3,+.004,-2.74,99.9,102.6,+2.89
UNC Greensboro,SC,-0.66,100.5,101.2,62.2,+.037,-1.42,104.4,105.8,-3.24
East Carolina,Amer,-0.86,102.7,103.5,67.7,+.074,+1.11,102.2,101.1,-8.14
Portland,WCC,-0.89,102.7,103.6,69.1,+.045,-1.91,102.0,103.9,-6.58
Arkansas St.,SB,-1.12,99.9,101.0,68.3,+.065,-3.35,100.8,104.2,-5.87
Samford,SC,-1.12,105.0,106.1,69.1,+.162,-0.91,104.3,105.2,-3.97
Louisiana,SB,-1.15,101.5,102.6,69.6,-.022,-2.63,100.4,103.0,-2.11
Navy,Pat,-1.19,95.3,96.5,64.7,+.037,-6.87,100.3,107.1,+3.83
Massachusetts,A10,-1.22,111.8,113.0,69.1,+.052,+1.21,102.0,100.8,-2.64
East Tennessee St.,SC,-1.25,107.7,108.9,65.3,+.021,+1.07,105.2,104.1,+4.22
Texas Southern,SWAC,-1.28,97.6,98.9,68.2,+.022,-6.25,98.7,105.0,+10.00
Oakland,Horz,-1.31,102.9,104.2,67.4,+.022,-4.65,101.4,106.0,+8.53
Bryant,NEC,-1.32,103.8,105.1,72.6,+.112,-8.47,98.0,106.5,+0.01
Niagara,MAAC,-1.47,100.3,101.8,64.3,-.044,-2.23,101.5,103.8,-1.26
Illinois St.,MVC,-1.50,105.0,106.5,68.0,-.103,+0.42,103.2,102.7,-5.48
Troy,SB,-1.59,98.7,100.3,67.0,+.082,-2.84,101.1,103.9,-4.27
Cornell,Ivy,-1.62,103.4,105.0,71.7,+.041,-2.86,102.0,104.8,-1.64
Old Dominion,CUSA,-1.69,100.9,102.6,64.3,-.078,-0.35,102.9,103.2,-1.07
Pittsburgh,ACC,-1.76,99.7,101.5,64.0,+.050,+7.00,107.5,100.5,+0.30
Mercer,SC,-1.81,105.6,107.4,64.7,+.023,+0.38,104.9,104.5,+1.46
Cleveland St.,Horz,-1.98,103.3,105.3,67.8,-.015,-7.97,99.2,107.1,+0.26
Northern Kentucky,Horz,-2.09,100.9,103.0,64.1,-.004,-7.97,99.6,107.6,-4.51
Dartmouth,Ivy,-2.43,98.6,101.1,64.7,-.122,-1.28,103.2,104.5,+2.63
Bellarmine,ASun,-2.48,107.9,110.4,62.0,+.113,-1.46,103.2,104.7,+12.84
Charlotte,CUSA,-2.52,104.9,107.4,65.5,+.095,-1.24,102.4,103.7,-0.27
Valparaiso,MVC,-2.63,102.7,105.4,65.1,-.024,+0.32,103.2,102.9,-5.49
Loyola Marymount,WCC,-2.71,105.8,108.5,65.9,-.003,+3.53,104.5,100.9,+1.89
Brown,Ivy,-2.75,100.3,103.0,67.3,-.047,-0.92,103.0,103.9,+2.98
Nicholls St.,Slnd,-2.79,100.8,103.6,69.8,+.021,-7.59,100.0,107.6,+0.37
Fairfield,MAAC,-2.85,100.6,103.5,64.3,-.072,-3.75,100.5,104.3,-7.06
Marist,MAAC,-2.88,100.8,103.7,66.2,-.048,-4.13,100.5,104.6,-7.54
Florida Gulf Coast,ASun,-2.96,104.4,107.4,70.2,+.072,-6.07,100.2,106.2,-5.85
UNC Asheville,BSth,-2.97,102.3,105.3,66.8,-.036,-5.35,100.3,105.6,-0.46
South Dakota,Sum,-3.05,104.4,107.5,65.7,+.058,-6.18,102.6,108.8,-5.83
Penn,Ivy,-3.34,106.2,109.5,67.6,+.031,+0.98,103.4,102.4,+6.82
Tarleton St.,WAC,-3.39,99.6,103.0,63.1,-.037,-0.48,101.8,102.3,+8.55
Campbell,BSth,-3.46,100.7,104.2,62.4,-.046,-5.83,98.7,104.5,-1.02
UMKC,Sum,-3.55,100.0,103.5,67.4,+.058,-5.04,103.2,108.2,+0.78
Southern,SWAC,-3.63,96.7,100.3,69.9,-.032,-6.16,98.9,105.1,+6.03
Northern Colorado,BSky,-3.82,107.7,111.5,69.6,+.100,-3.84,101.5,105.4,+7.40
Eastern Washington,BSky,-3.86,104.1,107.9,69.7,-.000,-5.21,101.1,106.3,+3.05
Boston University,Pat,-3.99,105.4,109.4,65.1,+.043,-7.88,97.8,105.7,-4.55
Georgia,SEC,-3.99,106.7,110.6,68.6,-.024,+8.00,105.7,97.7,-2.35
Rice,CUSA,-4.15,105.6,109.7,67.5,+.010,-2.32,101.0,103.3,-7.26
UC Davis,BW,-4.24,97.9,102.1,67.1,+.014,-6.01,99.6,105.7,-6.92
UT Arlington,SB,-4.28,97.7,102.0,65.2,-.027,+0.64,102.3,101.6,+10.44
Kennesaw St.,ASun,-4.32,104.7,109.0,66.2,-.116,-2.13,102.2,104.3,+6.36
Rider,MAAC,-4.40,99.2,103.6,66.9,-.010,-2.73,101.0,103.7,-4.83
Cal Baptist,WAC,-4.41,98.8,103.2,67.4,-.008,-5.02,99.7,104.7,-9.44
George Washington,A10,-4.46,99.3,103.8,68.9,+.043,+0.45,103.0,102.5,-3.98
James Madison,CAA,-4.66,102.6,107.3,68.8,+.076,-0.97,102.8,103.8,-0.08
Harvard,Ivy,-4.68,97.8,102.4,67.2,-.045,-4.11,101.2,105.3,-4.77
La Salle,A10,-4.68,98.9,103.6,67.2,-.005,+0.14,103.0,102.9,-10.37
Indiana St.,MVC,-4.78,98.3,103.0,69.2,-.066,+2.52,104.5,102.0,-0.13
Quinnipiac,MAAC,-4.96,102.9,107.9,68.8,-.029,-3.77,99.7,103.5,-10.82
San Diego,WCC,-5.01,96.3,101.3,65.6,+.090,+0.96,103.2,102.3,-3.22
Oregon St.,P12,-5.36,105.4,110.8,66.6,-.108,+8.12,106.5,98.3,+1.69
Howard,MEAC,-5.45,100.3,105.7,70.4,-.058,-8.66,96.1,104.7,-2.37
LIU,NEC,-5.51,99.7,105.2,72.4,+.033,-6.86,98.8,105.7,+7.68
Detroit Mercy,Horz,-5.57,105.6,111.2,64.9,-.019,-4.37,100.9,105.3,+3.93
Purdue Fort Wayne,Horz,-5.67,98.6,104.3,68.4,+.077,-8.26,99.8,108.1,-7.49
Marshall,CUSA,-5.74,101.2,106.9,72.3,-.017,-0.07,103.1,103.2,-0.77
Siena,MAAC,-5.77,98.1,103.9,66.3,+.111,-3.03,101.0,104.0,-4.61
UMBC,AE,-6.01,103.8,109.8,68.3,+.044,-7.19,99.8,107.0,-2.66
The Citadel,SC,-6.04,101.2,107.2,70.5,+.011,-0.69,104.4,105.1,-5.12
High Point,BSth,-6.16,98.4,104.5,66.5,-.025,-3.83,100.7,104.5,+3.96
New Hampshire,AE,-6.32,103.0,109.4,62.3,-.022,-8.32,98.6,106.9,-2.53
Southeast Missouri St.,OVC,-6.41,104.1,110.5,71.8,-.036,-4.49,99.8,104.2,-3.79
Texas A&M Corpus Chris,Slnd,-6.55,96.6,103.2,69.4,+.028,-10.92,98.3,109.2,-9.14
Mount St. Mary's,NEC,-6.56,96.1,102.6,63.3,-.036,-7.30,99.2,106.5,+0.27
Elon,CAA,-6.58,99.9,106.5,65.8,-.055,+2.23,104.6,102.3,+8.96
Montana,BSky,-6.67,100.2,106.8,65.3,+.026,-7.47,100.6,108.0,-6.67
UMass Lowell,AE,-6.70,96.2,102.9,67.5,-.063,-7.13,100.0,107.1,-2.22
Western Illinois,Sum,-6.77,100.4,107.1,70.6,-.012,-5.90,102.6,108.5,-5.79
Stony Brook,AE,-6.77,104.1,110.9,68.2,+.099,-6.65,99.4,106.0,-1.28
South Florida,Amer,-6.83,90.9,97.7,65.0,-.015,+3.92,104.1,100.2,-3.53
Georgia Southern,SB,-7.30,96.1,103.4,66.0,+.038,-1.87,100.8,102.7,-0.51
Youngstown St.,Horz,-7.49,102.8,110.3,66.6,+.002,-9.69,98.1,107.7,-6.97
Northeastern,CAA,-7.65,97.0,104.6,64.4,-.064,-0.92,103.8,104.8,-0.05
Portland St.,BSky,-7.69,95.7,103.4,71.0,-.015,-6.57,101.5,108.0,-0.22
Manhattan,MAAC,-7.73,100.5,108.2,68.6,+.097,-3.27,100.0,103.3,-6.38
Canisius,MAAC,-7.80,97.4,105.2,68.2,+.045,-1.29,102.0,103.3,+0.57
Tennessee Tech,OVC,-7.94,99.9,107.8,69.3,-.086,-2.62,100.6,103.2,+3.56
Eastern Kentucky,ASun,-7.95,101.2,109.2,70.9,-.120,-6.22,100.1,106.3,-5.62
UC San Diego,BW,-8.00,101.6,109.6,67.9,+.006,-4.20,99.3,103.5,-4.20
USC Upstate,BSth,-8.05,102.2,110.3,68.6,+.067,-3.25,100.6,103.9,+3.49
Presbyterian,BSth,-8.06,96.4,104.5,64.1,-.044,-2.89,101.8,104.7,+3.56
Lipscomb,ASun,-8.09,102.3,110.3,69.2,+.013,-3.10,101.3,104.4,+3.25
Alcorn St.,SWAC,-8.09,97.3,105.4,67.8,+.128,-3.83,99.4,103.3,+14.22
Miami OH,MAC,-8.17,103.5,111.7,67.7,-.043,-4.95,100.8,105.8,-3.73
Ball St.,MAC,-8.39,101.4,109.8,69.9,+.021,-5.40,100.8,106.2,-5.98
Louisiana Monroe,SB,-8.40,101.0,109.4,67.7,+.005,-2.17,100.7,102.8,+1.34
Air Force,MWC,-8.48,95.5,104.0,63.2,+.068,+1.53,103.5,102.0,-8.80
New Orleans,Slnd,-8.50,97.0,105.5,72.2,+.038,-8.87,99.8,108.7,-3.61
Loyola MD,Pat,-8.58,96.4,104.9,64.6,-.037,-8.62,98.8,107.4,-4.70
North Florida,ASun,-8.63,97.2,105.8,67.7,+.003,+1.24,103.8,102.6,+14.05
Tennessee St.,OVC,-8.63,98.0,106.6,67.5,-.054,-7.07,98.3,105.4,-8.23
Southeastern Louisiana,Slnd,-8.72,102.8,111.5,70.6,+.109,-6.20,99.7,105.9,+1.83
FIU,CUSA,-8.80,97.3,106.1,66.7,+.050,-4.64,101.3,105.9,-11.13
Cal St. Bakersfield,BW,-9.11,97.5,106.6,64.4,-.052,-2.22,100.8,103.0,+0.64
Jackson St.,SWAC,-9.20,93.3,102.5,63.7,-.002,-4.29,99.7,104.0,+10.93
Dixie St.,WAC,-9.26,95.6,104.9,71.4,+.032,-0.40,102.2,102.6,-1.27
Pepperdine,WCC,-9.70,97.4,107.1,69.9,-.023,+3.31,104.1,100.8,-0.66
Duquesne,A10,-9.85,98.8,108.7,65.9,-.047,+1.64,103.2,101.5,-4.07
