Team_away, Conf_away, AjdEM_away, AdjO_away, AdjD_away, AdjT_away, Luck_away, SOS_AdjEM_away, SOS_OppO_away, SOS_OppD_away, NCSOS_AdjEM_away,Team_home, Conf_home, AjdEM_home, AdjO_home, AdjD_home, AdjT_home, Luck_home, SOS_AdjEM_home, SOS_OppO_home, SOS_OppD_home, NCSOS_AdjEM_home,Date,Away_Team,Away_Score,Home_Team,Home_Score,Spread,Total
Baylor,B12,27.04,118.0,91.0,67.4,0.004,10.96,107.4,96.5,-1.89,Kansas,B12,27.49,119.2,91.7,69.3,0.041,12.6,108.0,95.4,4.13,2022-02-05,Baylor,59.0,Kansas,83.0,-24.0,142.0
Baylor,B12,27.04,118.0,91.0,67.4,0.004,10.96,107.4,96.5,-1.89,Texas Tech,B12,25.64,110.7,85.0,66.5,-0.031,10.98,107.8,96.8,-8.24,2022-02-16,Baylor,73.0,Texas Tech,83.0,-10.0,156.0
Baylor,B12,27.04,118.0,91.0,67.4,0.004,10.96,107.4,96.5,-1.89,Texas,B12,20.88,112.5,91.6,63.8,-0.043,10.68,107.7,97.0,-8.15,2022-02-28,Baylor,68.0,Texas,61.0,7.0,129.0
Baylor,B12,27.04,118.0,91.0,67.4,0.004,10.96,107.4,96.5,-1.89,TCU,B12,17.02,108.7,91.7,65.9,0.014,11.74,108.0,96.2,-5.0,2022-01-08,Baylor,76.0,TCU,64.0,12.0,140.0
Baylor,B12,27.04,118.0,91.0,67.4,0.004,10.96,107.4,96.5,-1.89,Alabama,SEC,16.57,115.2,98.6,71.9,-0.022,12.58,109.4,96.9,10.15,2022-01-29,Baylor,78.0,Alabama,87.0,-9.0,165.0
Baylor,B12,27.04,118.0,91.0,67.4,0.004,10.96,107.4,96.5,-1.89,Oklahoma,B12,16.48,111.0,94.6,65.1,-0.054,11.73,107.5,95.8,-2.04,2022-01-22,Baylor,65.0,Oklahoma,51.0,14.0,116.0
Baylor,B12,27.04,118.0,91.0,67.4,0.004,10.96,107.4,96.5,-1.89,Oklahoma St.,B12,15.6,103.8,88.2,67.6,-0.074,11.8,108.2,96.4,0.26,2022-02-21,Baylor,66.0,Oklahoma St.,64.0,2.0,130.0
Baylor,B12,27.04,118.0,91.0,67.4,0.004,10.96,107.4,96.5,-1.89,Michigan St.,B10,14.76,111.9,97.1,67.5,0.052,10.93,109.4,98.5,3.91,2021-11-26,Baylor,75.0,Michigan St.,58.0,17.0,133.0
Baylor,B12,27.04,118.0,91.0,67.4,0.004,10.96,107.4,96.5,-1.89,Iowa St.,B12,14.63,103.1,88.5,66.3,0.049,11.25,108.1,96.9,-6.84,2022-01-01,Baylor,77.0,Iowa St.,72.0,5.0,149.0
Baylor,B12,27.04,118.0,91.0,67.4,0.004,10.96,107.4,96.5,-1.89,Kansas St.,B12,12.6,109.6,97.0,66.6,-0.092,11.66,107.3,95.7,-4.37,2022-02-09,Baylor,75.0,Kansas St.,60.0,15.0,135.0
Baylor,B12,27.04,118.0,91.0,67.4,0.004,10.96,107.4,96.5,-1.89,VCU,A10,12.31,101.1,88.8,68.6,0.059,5.66,106.2,100.5,5.47,2021-11-25,Baylor,69.0,VCU,61.0,8.0,130.0
Baylor,B12,27.04,118.0,91.0,67.4,0.004,10.96,107.4,96.5,-1.89,West Virginia,B12,11.76,108.3,96.6,68.0,-0.001,12.52,108.4,95.9,-0.37,2022-01-18,Baylor,77.0,West Virginia,68.0,9.0,145.0
Baylor,B12,27.04,118.0,91.0,67.4,0.004,10.96,107.4,96.5,-1.89,Oregon,P12,10.33,110.0,99.6,67.9,0.014,7.47,106.3,98.8,3.17,2021-12-18,Baylor,78.0,Oregon,70.0,8.0,148.0
Arizona,P12,25.96,118.6,92.6,72.2,0.048,6.45,105.9,99.5,-0.78,Tennessee,SEC,25.1,111.5,86.4,67.4,0.029,11.39,108.5,97.1,4.85,2021-12-22,Arizona,73.0,Tennessee,77.0,-4.0,150.0
Arizona,P12,25.96,118.6,92.6,72.2,0.048,6.45,105.9,99.5,-0.78,UCLA,P12,24.26,115.9,91.7,65.2,-0.029,8.5,107.2,98.7,3.67,2022-01-25,Arizona,59.0,UCLA,75.0,-16.0,134.0
Arizona,P12,25.96,118.6,92.6,72.2,0.048,6.45,105.9,99.5,-0.78,Illinois,B10,18.75,112.0,93.3,67.2,0.033,10.44,109.0,98.6,1.39,2021-12-11,Arizona,83.0,Illinois,79.0,4.0,162.0
Arizona,P12,25.96,118.6,92.6,72.2,0.048,6.45,105.9,99.5,-0.78,Washington St.,P12,14.46,107.7,93.3,66.3,-0.084,5.09,105.7,100.6,-3.37,2022-02-10,Arizona,72.0,Washington St.,60.0,12.0,132.0
Arizona,P12,25.96,118.6,92.6,72.2,0.048,6.45,105.9,99.5,-0.78,USC,P12,14.14,109.8,95.6,66.2,0.06,5.14,104.8,99.7,-4.72,2022-03-01,Arizona,91.0,USC,71.0,20.0,162.0
Arizona,P12,25.96,118.6,92.6,72.2,0.048,6.45,105.9,99.5,-0.78,Colorado,P12,10.64,106.5,95.9,67.4,0.041,5.01,105.5,100.5,-7.62,2022-02-26,Arizona,63.0,Colorado,79.0,-16.0,142.0
Arizona,P12,25.96,118.6,92.6,72.2,0.048,6.45,105.9,99.5,-0.78,Arizona St.,P12,7.94,101.2,93.2,67.3,0.005,9.71,107.4,97.7,8.35,2022-02-07,Arizona,91.0,Arizona St.,79.0,12.0,170.0
Arizona,P12,25.96,118.6,92.6,72.2,0.048,6.45,105.9,99.5,-0.78,Stanford,P12,6.09,105.2,99.1,65.8,0.075,8.67,106.8,98.2,1.52,2022-01-20,Arizona,85.0,Stanford,57.0,28.0,142.0
Arizona,P12,25.96,118.6,92.6,72.2,0.048,6.45,105.9,99.5,-0.78,Washington,P12,5.17,104.1,98.9,69.5,0.078,5.82,105.9,100.1,-2.3,2022-02-12,Arizona,92.0,Washington,68.0,24.0,160.0
Arizona,P12,25.96,118.6,92.6,72.2,0.048,6.45,105.9,99.5,-0.78,Utah,P12,3.86,107.3,103.5,66.2,-0.121,6.09,105.4,99.3,-1.26,2022-02-24,Arizona,97.0,Utah,77.0,20.0,174.0
Arizona,P12,25.96,118.6,92.6,72.2,0.048,6.45,105.9,99.5,-0.78,California,P12,2.38,100.5,98.2,64.1,-0.048,6.07,105.8,99.7,-2.67,2022-01-23,Arizona,96.0,California,71.0,25.0,167.0
Arizona,P12,25.96,118.6,92.6,72.2,0.048,6.45,105.9,99.5,-0.78,Oregon St.,P12,-5.36,105.4,110.8,66.6,-0.108,8.12,106.5,98.3,1.69,2021-12-05,Arizona,90.0,Oregon St.,65.0,25.0,155.0
Kentucky,SEC,25.72,120.0,94.3,67.5,-0.043,8.88,106.5,97.6,-2.72,Kansas,B12,27.49,119.2,91.7,69.3,0.041,12.6,108.0,95.4,4.13,2022-01-29,Kentucky,80.0,Kansas,62.0,18.0,142.0
Kentucky,SEC,25.72,120.0,94.3,67.5,-0.043,8.88,106.5,97.6,-2.72,Duke,ACC,25.15,121.1,95.9,67.3,-0.01,8.22,107.8,99.6,-4.58,2021-11-09,Kentucky,71.0,Duke,79.0,-8.0,150.0
Kentucky,SEC,25.72,120.0,94.3,67.5,-0.043,8.88,106.5,97.6,-2.72,Tennessee,SEC,25.1,111.5,86.4,67.4,0.029,11.39,108.5,97.1,4.85,2022-02-15,Kentucky,63.0,Tennessee,76.0,-13.0,139.0
Kentucky,SEC,25.72,120.0,94.3,67.5,-0.043,8.88,106.5,97.6,-2.72,Tennessee,SEC,25.1,111.5,86.4,67.4,0.029,11.39,108.5,97.1,4.85,2022-03-12,Kentucky,62.0,Tennessee,69.0,-7.0,131.0
Kentucky,SEC,25.72,120.0,94.3,67.5,-0.043,8.88,106.5,97.6,-2.72,Auburn,SEC,23.2,112.7,89.5,70.1,-0.021,8.35,106.9,98.6,3.7,2022-01-22,Kentucky,71.0,Auburn,80.0,-9.0,151.0
Kentucky,SEC,25.72,120.0,94.3,67.5,-0.043,8.88,106.5,97.6,-2.72,Arkansas,SEC,19.46,109.9,90.4,70.7,0.038,9.08,107.5,98.4,-2.78,2022-02-26,Kentucky,73.0,Arkansas,75.0,-2.0,148.0
Kentucky,SEC,25.72,120.0,94.3,67.5,-0.043,8.88,106.5,97.6,-2.72,LSU,SEC,18.65,107.3,88.7,68.6,-0.052,9.1,107.2,98.1,-1.21,2022-01-04,Kentucky,60.0,LSU,65.0,-5.0,125.0
Kentucky,SEC,25.72,120.0,94.3,67.5,-0.043,8.88,106.5,97.6,-2.72,Alabama,SEC,16.57,115.2,98.6,71.9,-0.022,12.58,109.4,96.9,10.15,2022-02-05,Kentucky,66.0,Alabama,55.0,11.0,121.0
Kentucky,SEC,25.72,120.0,94.3,67.5,-0.043,8.88,106.5,97.6,-2.72,Texas A&M,SEC,15.69,109.1,93.4,66.7,-0.01,7.33,106.2,98.8,-5.58,2022-01-19,Kentucky,64.0,Texas A&M,58.0,6.0,122.0
Kentucky,SEC,25.72,120.0,94.3,67.5,-0.043,8.88,106.5,97.6,-2.72,Notre Dame,ACC,15.25,112.4,97.2,65.6,0.017,7.81,107.1,99.3,2.7,2021-12-11,Kentucky,62.0,Notre Dame,66.0,-4.0,128.0
Kentucky,SEC,25.72,120.0,94.3,67.5,-0.043,8.88,106.5,97.6,-2.72,Florida,SEC,12.67,110.2,97.6,65.4,-0.018,7.6,106.0,98.4,-2.33,2022-03-05,Kentucky,71.0,Florida,63.0,8.0,134.0
Kentucky,SEC,25.72,120.0,94.3,67.5,-0.043,8.88,106.5,97.6,-2.72,Vanderbilt,SEC,12.27,107.2,94.9,67.8,-0.053,8.58,107.1,98.5,-0.82,2022-01-11,Kentucky,78.0,Vanderbilt,66.0,12.0,144.0
Kentucky,SEC,25.72,120.0,94.3,67.5,-0.043,8.88,106.5,97.6,-2.72,South Carolina,SEC,7.53,101.5,93.9,70.5,0.105,8.85,107.7,98.8,-0.24,2022-02-08,Kentucky,86.0,South Carolina,76.0,10.0,162.0
Texas Tech,B12,25.64,110.7,85.0,66.5,-0.031,10.98,107.8,96.8,-8.24,Gonzaga,WCC,30.95,120.7,89.7,72.5,-0.039,4.24,104.6,100.3,-2.88,2021-12-18,Texas Tech,55.0,Gonzaga,69.0,-14.0,124.0
Texas Tech,B12,25.64,110.7,85.0,66.5,-0.031,10.98,107.8,96.8,-8.24,Kansas,B12,27.49,119.2,91.7,69.3,0.041,12.6,108.0,95.4,4.13,2022-01-24,Texas Tech,91.0,Kansas,94.0,-3.0,185.0
Texas Tech,B12,25.64,110.7,85.0,66.5,-0.031,10.98,107.8,96.8,-8.24,Kansas,B12,27.49,119.2,91.7,69.3,0.041,12.6,108.0,95.4,4.13,2022-03-12,Texas Tech,65.0,Kansas,74.0,-9.0,139.0
Texas Tech,B12,25.64,110.7,85.0,66.5,-0.031,10.98,107.8,96.8,-8.24,Baylor,B12,27.04,118.0,91.0,67.4,0.004,10.96,107.4,96.5,-1.89,2022-01-11,Texas Tech,65.0,Baylor,62.0,3.0,127.0
Texas Tech,B12,25.64,110.7,85.0,66.5,-0.031,10.98,107.8,96.8,-8.24,Tennessee,SEC,25.1,111.5,86.4,67.4,0.029,11.39,108.5,97.1,4.85,2021-12-07,Texas Tech,57.0,Tennessee,52.0,5.0,109.0
Texas Tech,B12,25.64,110.7,85.0,66.5,-0.031,10.98,107.8,96.8,-8.24,Texas,B12,20.88,112.5,91.6,63.8,-0.043,10.68,107.7,97.0,-8.15,2022-02-19,Texas Tech,61.0,Texas,55.0,6.0,116.0
